2026-06-01 22:54:43 | INFO | mail_0001.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0002.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0003.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0004.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0005.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0006.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0007.txt -> monitoring | авто-уведомление от системы
2026-06-01 22:54:43 | INFO | mail_0008.txt -> monitoring | авто-уведомление от системы
2026-06-01 22:54:43 | INFO | mail_0009.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0010.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0011.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0012.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0013.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0014.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0015.txt -> access | запрос доступа
2026-06-01 22:54:43 | INFO | mail_0016.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:43 | INFO | mail_0017.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0018.txt -> access | запрос доступа
2026-06-01 22:54:44 | INFO | mail_0019.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0020.txt -> monitoring | авто-уведомление от системы
2026-06-01 22:54:44 | INFO | mail_0021.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0022.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0023.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0024.txt -> access | запрос доступа
2026-06-01 22:54:44 | INFO | mail_0025.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0026.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0027.txt -> access | запрос доступа
2026-06-01 22:54:44 | INFO | mail_0028.txt -> incidents | срочное обращение или инцидент
2026-06-01 22:54:44 | INFO | mail_0029.txt -> incidents | срочное обращение или инцидент
